Year,Month,Type,ICEV,HEV,PHEV,HEV & PHEV,BEV,Total xEV,Not Specific,Other,Total
2563,01,Three Wheeler,11,0,0,0,0,0,0,0,11
2563,01,Passenger Car and Pickup Truck,88866,0,0,3115,265,3380,0,0,89131
2563,02,Truck,3886,0,0,0,0,0,0,1122,5008
2563,02,Three Wheeler,12,0,0,0,4,4,0,0,16
2563,02,Passenger Car and Pickup Truck,81168,0,0,2858,194,3052,1,0,81363
2563,02,Mini MPV,0,0,0,0,0,0,0,0,0
2563,02,Bus,758,0,0,0,0,0,0,0,758
2563,03,Passenger Car and Pickup Truck,85015,0,0,2812,121,2933,4,0,85140
2563,03,Three Wheeler,13,0,0,0,2,2,0,0,15
2563,03,Truck,4462,0,0,0,0,0,0,1229,5691
2563,03,Mini MPV,0,0,0,0,0,0,0,0,0
2563,03,Bus,839,0,0,0,1,1,0,0,840
2563,04,Bus,346,0,0,0,0,0,0,0,346
2563,04,Mini MPV,0,0,0,0,0,0,0,0,0
2563,04,Passenger Car and Pickup Truck,60707,0,0,1791,96,1887,0,0,60803
2563,04,Three Wheeler,4,0,0,0,0,0,0,0,4
2563,04,Truck,3327,0,0,0,0,0,0,1045,4372
2563,05,Passenger Car and Pickup Truck,50616,0,0,1418,63,1481,2,0,50681
2563,05,Three Wheeler,10,0,0,0,15,15,0,0,25
2563,05,Truck,3292,0,0,0,0,0,0,1039,4331
2563,05,Mini MPV,0,0,0,0,0,0,0,0,0
2563,05,Bus,363,0,0,0,1,1,0,0,364
2563,06,Bus,712,0,0,0,0,0,0,0,712
2563,06,Mini MPV,2,0,0,0,0,0,0,0,2
2563,06,Passenger Car and Pickup Truck,57335,0,0,1647,89,1736,3,0,57427
2563,06,Three Wheeler,17,0,0,0,13,13,0,0,30
2563,06,Truck,3552,0,0,0,0,0,0,917,4469
2563,07,Mini MPV,1,0,0,0,0,0,0,0,1
2563,07,Passenger Car and Pickup Truck,57041,0,0,1739,57,1796,9,0,57107
2563,07,Three Wheeler,10,0,0,0,17,17,0,0,27
2563,07,Truck,4091,0,0,0,0,0,0,1162,5253
2563,07,Bus,627,0,0,0,0,0,0,0,627
2563,08,Bus,511,0,0,0,0,0,0,1,512
2563,08,Mini MPV,0,0,0,0,0,0,0,0,0
2563,08,Passenger Car and Pickup Truck,63926,2606,67,2673,112,2785,0,0,66711
2563,08,Three Wheeler,10,0,0,0,21,21,0,0,31
2563,08,Truck,5313,0,0,0,0,0,0,1196,6509
2563,09,Passenger Car and Pickup Truck,64760,2622,255,2877,62,2939,0,0,67699
2563,09,Bus,515,1,0,1,0,1,0,0,516
2563,09,Mini MPV,1,0,0,0,0,0,0,0,1
2563,09,Three Wheeler,10,0,0,0,18,18,0,0,28
2563,09,Truck,4104,0,0,0,0,0,0,1050,5154
2563,10,Passenger Car and Pickup Truck,64189,2999,276,3275,92,3367,0,0,67556
2563,10,Bus,479,0,0,0,0,0,0,0,479
2563,10,Mini MPV,0,0,0,0,0,0,0,0,0
2563,10,Three Wheeler,18,0,0,0,19,19,0,0,37
2563,10,Truck,10302,0,0,0,0,0,0,1265,11567
2563,11,Mini MPV,2,0,0,0,0,0,0,0,2
2563,11,Bus,392,0,0,0,0,0,0,1,393
2563,11,Truck,5351,0,0,0,0,0,0,1187,6538
2563,11,Three Wheeler,20,0,0,0,8,8,0,0,28
2563,11,Passenger Car and Pickup Truck,63395,2752,272,3024,72,3096,0,0,66491
2563,12,Truck,4093,0,0,0,0,0,0,1071,5164
2563,12,Three Wheeler,10,0,0,0,1,1,0,0,11
2563,12,Passenger Car and Pickup Truck,51027,2016,214,2230,65,2295,0,0,53322
2563,12,Mini MPV,0,0,0,0,0,0,0,0,0
2563,12,Bus,329,0,0,0,0,0,0,0,329
2563,Total,Three Wheeler,145,0,0,0,118,118,0,0,263
2563,Total,Passenger Car and Pickup Truck,788045,12995,1084,29459,1288,30747,19,0,803431
2563,Total,Truck,56135,0,0,0,0,0,1,13585,69721
2563,Total,Bus,6771,1,0,1,2,3,0,3,6777
2563,Total,Mini MPV,8,0,0,0,0,0,0,0,8
2564,01,Mini MPV,4,0,0,0,0,0,0,0,4
2564,01,Truck,4663,0,0,0,0,0,0,1271,5934
2564,01,Three Wheeler,16,0,0,0,13,13,0,0,29
2564,01,Passenger Car and Pickup Truck,82920,4056,464,4520,156,4676,0,0,87596
2564,01,Bus,306,0,0,0,0,0,0,0,306
