X,Y,Name,Dealership,Address,Latitude,Longitude,Provider,Power
100.657312,13.921228,MG พารากอน เซลล์,Dealership,5/48 ถนนสายไหม แขวงสายไหม เขตสายไหม กรุงเทพฯ 10220,13.921228,100.657312,MG,
99.9132485,19.15320586,MG ล้านนา (สาขาพะเยา),Dealership,413/2 ถนนพหลโยธิน ตำบลแม่ต๋ำ อำเภอเมือง จังหวัดพะเยา 56000,19.15320586,99.9132485,MG,
99.8331808,19.8788165,MG ล้านนา เชียงราย,Dealership,111/21-22 หมู่ที่13 ถนนพหลโยธิน ตำบลสันทราย อำเภอเมือง จังหวัดเชียงราย 57000,19.8788165,99.8331808,MG,
100.607481,13.784151,MG วิชมอเตอร์,Dealership,333/33 ถนนประดิษฐ์มนูธรรม แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ 10310,13.784151,100.607481,MG,
99.839137,13.613062,MG ช.เอราวัณ ออโตโมบิล ราชบุรี,Dealership,19/1 หมู่ 5 ถนนเพชรเกษม ตำบลสามเรือน อำเภอเมืองราชบุรี จังหวัดราชบุรี  70000,13.613062,99.839137,MG,
103.631772,18.376354,MG พิจิตรเพชรออโต้,Dealership,370 หมู่ที่ 1 ถนนบึงกาฬ-พังโคน ตำบลบึงกาฬ อำเภอเมืองบึงกาฬ จังหวัดบึงกาฬ 38000,18.376354,103.631772,MG,
100.6099195,13.56268056,MG บางปูแลนด์ แอนด์ ออโต้โมบิล,Dealership,99/9 หมู่ที่ 2 ตำบลท้ายบ้าน อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10280,13.56268056,100.6099195,MG,
100.2890124,13.57089515,MG รุ่งเจริญ (สาขามหาชัย),Dealership,12/2 หมู่ที่ 4 ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,13.57089515,100.2890124,MG,
100.572095,13.593428,MG รุ่งเจริญ (สาขาสุขสวัสดิ์),Dealership,123 หมู่ที่ 2 ถนนสุขสวัสดิ์ ตำบลในคลองบางปลากด  อำเภอพระสมุทรเจดีย์ จังหวัดสมุทรปราการ 10290,13.593428,100.572095,MG,
100.476237,13.790375,MG สกาย ออโต้โมทีฟ (สาขาสิรินธร),Dealership,346 ถนนสิรินธร แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,13.790375,100.476237,MG,
100.5124331,13.80639479,MG เคเอเอส มอเตอร์ส,Dealership,804 ถนนจรัญสนิทวงศ์ แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,13.80639479,100.5124331,MG,
99.040228,18.727518,MG ทริปเปิล ที มอเตอร์ (เชียงใหม่),Dealership,104 หมู่ที่ 1 ถนนไฮเวย์-ลำปาง ตำบลไชยสถาน อำเภอสารภี จังหวัดเชียงใหม่ 50140,18.727518,99.040228,MG,
100.704861,14.769917,MG ลพบุรี,Dealership,99/9 หมู่ที่2 ตำบลนิคมสร้างตนเอง อำเภอเมืองลพบุรี จังหวัดลพบุรี 15000,14.769917,100.704861,MG,
100.5071768,13.62566909,MG ประชาอุทิศ,Dealership,293 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,13.62566909,100.5071768,MG,
100.63478,13.71056,MG สุพรีม,Dealership,1640 ถนนอ่อนนุช แขวงอ่อนนุช เขตสวนหลวง กรุงเทพมหานคร 10250,13.71056,100.63478,MG,
100.722352,13.868622,MG แสงอารี ออโต้ (สาขาหทัยราษฎร์),Dealership,เลขที่ 251 ถนนหทัยราษฎร์ แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510,13.868622,100.722352,MG,
100.48288,13.70591,MG ทริปเปิ้ลเอ็มออโต้เซลส์,Dealership,776/1 ถ.รัชดาภิเษก (ท่าพระ-ตากสิน) แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร 10600,13.70591,100.48288,MG,
102.8125235,16.3942093,MG อาร์เฮงวัฒนา,Dealership,89/1 หมู่ที่12 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมือง จังหวัดขอนแก่น 40000,16.3942093,102.8125235,MG,
99.948794,8.3705776,MG ลักซูรี่ นครศรีธรรมราช สำนักงานใหญ่ (พระพรหม),Dealership,174 หมู่13 ตำบลช้างซ้าย อำเภอพระพรหม จังหวัดนครศรีธรรมราช 80000,8.3705776,99.948794,MG,
104.1276321,17.1468055,MG พิจิตรเพชร สกลนคร,Dealership,343 ถนนสกลนคร-กาฬสินธุ์ ตำบลธาตุเชิงชุม อำเภอเมือง จังหวัดสกลนคร 47000,17.1468055,104.1276321,MG,
102.0597629,14.960703,MG นครราชสีมา,Dealership,2300 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมือง จังหวัดนครราชสีมา 30000,14.960703,102.0597629,MG,
98.891534,8.102991,MG ดุสิต ออโต้โมบิล,Dealership,56/6 ถนนศรีพังงา ตำบลกระบี่ใหญ่ อำเภอเมืองกระบี่ จังหวัดกระบี่ 81000,8.102991,98.891534,MG,
101.15544,17.27468,MG ร่วมใจเมืองเลย (สาขาด่านซ้าย),Dealership,698 หมู่ 3 ตำบลด่านซ้าย อำเภอด่านซ้าย จังหวัดเลย 42120,17.27468,101.15544,MG,
101.3512035,14.08147269,MG ปราจีนบุรี ออโต้เซลส์,Dealership,88 หมู่ที่9 ถนนสุวินทวงศ์ ตำบลบ้านพระ อำเภอเมือง จังหวัดปราจีนบุรี 25230,14.08147269,101.3512035,MG,
102.081917,14.97961256,MG ปฐพีทองออโต้ (ในเมือง),Dealership,"1196, 1198, 1200 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000",14.97961256,102.081917,MG,
99.940602,13.091128,MG พรนุภาพ,Dealership,66/9 หมู่ 3 ถนนเพชรเกษม ตำบลบ้านหม้อ อำเภอเมือง จังหวัดเพชรบุรี 76000,13.091128,99.940602,MG,
99.77827572,11.8088703,MG ประจวบคีรีขันธ์ บาย พร้อมพงศ์,Dealership,17/12 ถนนประจวบคีรีขันธ์ ตำบลประจวบคีรีขันธ์ อำเภอเมืองประจวบคีรีขันธ์ จังหวัดประจวบคีรีขันธ์ 77000,11.8088703,99.77827572,MG,
100.414721,13.932022,MG แอ๊นท์ (2019),Dealership,99/99 หมู่ 13 ถนนกาญจนาภิเษก ตำบลบางบัวทอง อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,13.932022,100.414721,MG,
100.6547054,13.81960216,MG รุ่งเจริญ (สาขานวมินทร์),Dealership,24/99 ถนนนวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,13.81960216,100.6547054,MG,
101.05746,13.65894,MG รุ่งเจริญ (สาขาฉะเชิงเทรา),Dealership,42 หมู่ 5 ตำบลบางพระ อำเภอเมืองฉะเชิงเทรา จังหวัดฉะเชิงเทรา 24000,13.65894,101.05746,MG,
99.45686,18.25383,MG ทริปเปิล ที มอเตอร์ (ลำปาง),Dealership,449 หมู่ที่ 1 ตำบลชมพู อำเภอเมือง จังหวัดลำปาง 52100,18.25383,99.45686,MG,
101.030155,13.442421,MG บริติช ออโต้เซลส์,Dealership,82 หมู่ที่ 6 ถนนบ้านเก่า5 ตำบลดอนหัวฬ่อ อำเภอเมือง จังหวัดชลบุรี 20000,13.442421,101.030155,MG,
100.3610766,16.83091855,MG ส.อรุณ ออโต้โมบิล (สาขาพิษณุโลก),Dealership,36/2 หมู่ที่ 4 ตำบลสมอแข อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000,16.83091855,100.3610766,MG,
100.923526,12.986883,MG พัทยา ออโต้เฮ้าส์,Dealership,16/119 หมู่ที่ 8 ถนนสุขุมวิท ตำบลหนองปลาไหล อำเภอบางละมุง จังหวัดชลบุรี 20150,12.986883,100.923526,MG,
100.57933,13.975671,MG เอเบิล มอเตอร์ส,Dealership,88 หมู่ 5 ถนนบางบัวทอง-บางพูน(ซ่อมสร้าง) ตำบลบางพูน อำเภอเมืองปทุมธานี จังหวัดปทุมธานี 12000,13.975671,100.57933,MG,
102.795601,17.40571,MG ช้าง อุดรธานี,Dealership,237/1 ถนนประจักษ์ศิลปาคม ตำบลหมากแข้ง อำเภอเมือง จังหวัดอุดรธานี 41000,17.40571,102.795601,MG,
100.284608,16.815393,วีจี คาร์ (สาขาพิษณุโลก),Non-dealership,273/5-6-7 ถนนพิชัยสงคราม  ตำบลในเมือง อำเภอเมือง จังหวัดพิษณุโลก 65000,16.815393,100.284608,MG,
100.521757,14.007025,เอเลแกนซ์ วีฮีเคิล,Non-dealership,99/9 หมู่ที่ 3 ถนนกรุงเทพฯ-ปทุมธานี ตำบลบ้านฉาง อำเภอเมืองปทุมธานี จังหวัดปทุมธานี 12000,14.007025,100.521757,MG,
