X,Y,Name,description,Name_EN,Power,Code,Address,Latitude,Longitude,Provider
102.7457917,14.63480946,ปตท หจก.มานะ-เสริมพล ปิโตรเลียม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Mana Sermpol Petroleum,120 kW,GWC-OR-0070,256-257 ม.7 ถ.โชคชัย-เดชอุดม ต.หนองโบสถ์ อ.นางรอง บุรีรัมย์ 31110,14.63480946,102.7457917,PTT
104.837433,15.2936,ปตท บจ.อุบล เกตเวย์,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Ubon Gateway Co., Ltd",120 kW,GWC-OR-0217,240/9 หมู่ 4 ถนนชยางกูร ตำบลขามใหญ่ อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000,15.2936,104.837433,PTT
100.429085,6.973203,ปตท สนามบินหาดใหญ่,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Hat Yai International Airport,120 kW,GWC-OR-0108,929 ม.1 ถ.สนามบิน-ลพบริราเมศวร์ ต.ควนลัง อ.หาดใหญ่ สงขลา 90110,6.973203,100.429085,PTT
100.717,13.6585,ปตท กิ่งแก้ว,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Kingkaew,120 kW,GWC-OR-0061,236 ม.12 ต.ราชาเทวะ อ.บางพลี สมุทรปราการ 10540,13.6585,100.717,PTT
101.153513,16.453376,ปตท สวัสดิการมหาวิทยาลัยราชภัฏเพชรบูรณ์,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Phetchabun Rajabhat University,120 kW,GWC-OR-0100,85/84 ม.11 ต.สะเดียง อ.เมืองเพชรบูรณ์ เพชรบูรณ์ 67000,16.453376,101.153513,PTT
100.3943073,13.6253402,ปตท พระราม 2 (ขาออก),"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)
IOCharger IOCAW05C 7kW: Type 2",PTT Rama 2 (Outbound),120 kW,GWC-OR-2070,585 ถ.พระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,13.6253402,100.3943073,PTT
98.9835402,18.76796643,ปตท หายยา,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Haiya,120 kW,GWC-OR-0081,235/1 ถ.มหิดล ต.ช้างคลาน อ.เมืองเชียงใหม่ เชียงใหม่ 53000,18.76796643,98.9835402,PTT
100.4444546,13.76198563,ปตท ราชพฤกษ์ 1,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Ratchaphruek 1,120 kW,GWC-OR-0067,31/12 ม.13 แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,13.76198563,100.4444546,PTT
99.8245214269905,13.2334793348493,คาเฟ่ อเมซอน เขาย้อย จ.เพชรบุรี,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","Café Amazon Khao Yoi, Phetchaburi",120 kW,GWC-OR-0138,4/4 หมู่ที่ 5 ต.เขาย้อย อ.เขาย้อย จ.เพชรบุรี,13.2334793348493,99.8245214269905,PTT
102.125999997258,14.9570521137662,ปตท แอล.พี.จี. บจก.พี โอ ออยล์,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT LPG Station P.O. Oil Co., Ltd",120 kW,GWC-OR-0157,1727 หมู่ 1 ตำบลหัวทะเล อำเภอเมือง นครราชสีมา 30000,14.9570521137662,102.125999997258,PTT
102.4229049,17.2190661,ปตท หจก.เมืองนางปิโตรเลียม,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Muangnang Petroleum,120 kW,GWC-OR-1015,191 ม.2 ต.ลำภู อ.เมืองหนองบัวลำภู หนองบัวลำภู 39000,17.2190661,102.4229049,PTT
104.815523,15.187554,ปตท หจก.ส.สุมาลี เอ็นเนอจี้,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT S.Sumalee Energy,120 kW,GWC-OR-0216,3 หมู่ 2 ตำบลโนนผึ้ง อำเภอวารินชำราบ อุบลราชธานี 34190,15.187554,104.815523,PTT
99.4379566,11.2645826,ปตท บจ.ช้างเผือกปิโตรเลียม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Chang Phueak Petroleum,120 kW,GWC-OR-0090,559 ม.4 ต.ร่อนทอง อ.บางสะพาน ประจวบคีรีขันธ์ 77230,11.2645826,99.4379566,PTT
